fuel,conversion_factor,value,original_unit,final_unit
jet_fuel,mpg_to_km_per_pj,12354781.324238501,mpg,km/PJ
jet_fuel,mpg_to_billion_km_per_pj,0.012354781324238501,mpg,billion km/PJ
jet_fuel,fuel_energy_content_mj_kg,42.8,kg,MJ
jet_fuel,density_kg_per_l,0.804,L,kg
jet_fuel,km_per_kg_to_km_per_mj,0.012354781324238503,MJ,km
jet_fuel,kt_to_pj,0.042800000000000005,kt,PJ
jet_fuel,km_per_liter_to_km_per_pj,9933244.184687756,km/L,km/PJ
jet_fuel,km_per_liter_to_km_per_mj,0.009933244184687757,km/L,km/MJ
jet_fuel,kgc02_per_l,2.462637528,L,kgC02
jet_fuel,kgc02_per_kg_fuel,3.062982,kg fuel,kgC02
jet_fuel,kgc02_per_mj,0.071565,MJ,kgC02
jet_fuel,Megatonne c02 per PJ of fuel,0.071565,PJ,MTC02
biojet,mpg_to_km_per_liter,0.42514285110463595,mpg,km/L
biojet,mpg_to_km_per_pj,12354781.324238501,mpg,km/PJ
biojet,mpg_to_billion_km_per_pj,0.012354781324238501,mpg,billion km/PJ
biojet,fuel_energy_content_mj_kg,42.8,kg,MJ
biojet,density_kg_per_l,0.804,L,kg
biojet,km_per_kg_to_km_per_mj,0.012354781324238503,MJ,km
biojet,kt_to_pj,0.042800000000000005,kt,PJ
biojet,km_per_liter_to_km_per_pj,9933244.184687756,km/L,km/PJ
biojet,km_per_liter_to_km_per_mj,0.009933244184687757,km/L,km/MJ
biojet,kgc02_per_l,0.0,L,kgC02
biojet,kgc02_per_kg_fuel,0.0,kg fuel,kgC02
biojet,kgc02_per_mj,0.0,MJ,kgC02
biojet,Megatonne c02 per PJ of fuel,0.0,PJ,MTC02
