Fuel_transport_8th,Emissions factor (MT/PJ),Economy
16_7_bio_jet_kerosene,0.0,10_MAS
16_7_bio_jet_kerosene,0.0,11_MEX
16_7_bio_jet_kerosene,0.0,12_NZ
16_7_bio_jet_kerosene,0.0,13_PNG
16_7_bio_jet_kerosene,0.0,14_PE
16_7_bio_jet_kerosene,0.0,15_PHL
16_7_bio_jet_kerosene,0.0,16_RUS
16_7_bio_jet_kerosene,0.0,17_SGP
16_7_bio_jet_kerosene,0.0,18_CT
16_7_bio_jet_kerosene,0.0,19_THA
16_7_bio_jet_kerosene,0.0,20_USA
16_7_bio_jet_kerosene,0.0,21_VN
16_7_bio_jet_kerosene,0.0,22_SEA
16_7_bio_jet_kerosene,0.0,23_NEA
16_7_bio_jet_kerosene,0.0,23_bONEA
16_7_bio_jet_kerosene,0.0,24_OAM
16_7_bio_jet_kerosene,0.0,24_bOOAM
16_7_bio_jet_kerosene,0.0,25_OCE
7_2_aviation_gasoline,0.070097,00_APEC
7_2_aviation_gasoline,0.070097,01_AUS
7_2_aviation_gasoline,0.070097,02_BD
7_2_aviation_gasoline,0.070097,03_CDA
7_2_aviation_gasoline,0.070097,04_CHL
7_2_aviation_gasoline,0.070097,05_PRC
7_2_aviation_gasoline,0.070097,06_HKC
7_2_aviation_gasoline,0.070097,07_INA
7_2_aviation_gasoline,0.070097,08_JPN
7_2_aviation_gasoline,0.070097,09_ROK
7_2_aviation_gasoline,0.070097,10_MAS
7_2_aviation_gasoline,0.070097,11_MEX
7_2_aviation_gasoline,0.070097,12_NZ
7_2_aviation_gasoline,0.070097,13_PNG
7_2_aviation_gasoline,0.070097,14_PE
7_2_aviation_gasoline,0.070097,15_PHL
7_2_aviation_gasoline,0.070097,16_RUS
7_2_aviation_gasoline,0.070097,17_SGP
7_2_aviation_gasoline,0.070097,18_CT
7_2_aviation_gasoline,0.070097,19_THA
7_2_aviation_gasoline,0.070097,20_USA
7_2_aviation_gasoline,0.070097,21_VN
7_2_aviation_gasoline,0.070097,22_SEA
7_2_aviation_gasoline,0.070097,23_NEA
7_2_aviation_gasoline,0.070097,23_bONEA
7_2_aviation_gasoline,0.070097,24_OAM
7_2_aviation_gasoline,0.070097,24_bOOAM
7_2_aviation_gasoline,0.070097,25_OCE
8_1_natural_gas,0.056151,00_APEC
8_1_natural_gas,0.056151,01_AUS
8_1_natural_gas,0.056151,02_BD
8_1_natural_gas,0.056151,03_CDA
8_1_natural_gas,0.056151,04_CHL
8_1_natural_gas,0.056151,05_PRC
8_1_natural_gas,0.056151,06_HKC
8_1_natural_gas,0.056151,07_INA
8_1_natural_gas,0.056151,08_JPN
8_1_natural_gas,0.056151,09_ROK
8_1_natural_gas,0.056151,10_MAS
8_1_natural_gas,0.056151,11_MEX
8_1_natural_gas,0.056151,12_NZ
8_1_natural_gas,0.056151,13_PNG
8_1_natural_gas,0.056151,14_PE
8_1_natural_gas,0.056151,15_PHL
8_1_natural_gas,0.056151,16_RUS
8_1_natural_gas,0.056151,17_SGP
8_1_natural_gas,0.056151,18_CT
8_1_natural_gas,0.056151,19_THA
8_1_natural_gas,0.056151,20_USA
8_1_natural_gas,0.056151,21_VN
8_1_natural_gas,0.056151,22_SEA
8_1_natural_gas,0.056151,23_NEA
8_1_natural_gas,0.056151,23_bONEA
8_1_natural_gas,0.056151,24_OAM
8_1_natural_gas,0.056151,24_bOOAM
8_1_natural_gas,0.056151,25_OCE
16_6_biodiesel,0.0,00_APEC
16_6_biodiesel,0.0,01_AUS
16_6_biodiesel,0.0,02_BD
16_6_biodiesel,0.0,03_CDA
16_6_biodiesel,0.0,04_CHL
16_6_biodiesel,0.0,05_PRC
16_6_biodiesel,0.0,06_HKC
